match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-277061221,2023-10-30,2023,ICC Men’s T20 World Cup Asia Qualifier Final,1,Unknown,Bahrain,United Arab Emirates,Mulpani Cricket Ground,Kathmandu,United Arab Emirates,field,United Arab Emirates,unknown,T20,Bahrain,135,6,20.5,United Arab Emirates,137,5,19.5,2023,10,Bahrain,United Arab Emirates,135.0,137.0,completed,1447.40599008551,1554.19010306338,-106.784112977872,0.6,0.4,0.4,0.3,0.5
8249791862,2023-10-30,2023,Zimbabwe tour of Namibia,0,Unknown,Namibia,Zimbabwe,"United Cricket Club Ground, Windhoek",Windhoek,Zimbabwe,field,Namibia,unknown,T20,Namibia,101,10,18.8,Zimbabwe,93,10,19.3,2023,10,Namibia,Zimbabwe,101.0,93.0,completed,1615.72656855601,1599.88386293107,15.8427056249375,0.4,0.4,0.6,0.5,0.4
-689902140,2023-10-30,2023,ICC Men’s T20 World Cup Asia Qualifier Final,1,Unknown,Hong Kong,Kuwait,Mulpani Cricket Ground,Kathmandu,Kuwait,field,Hong Kong,unknown,T20,Hong Kong,166,6,20.3,Kuwait,150,8,20.7,2023,10,Hong Kong,Kuwait,166.0,150.0,completed,1499.49222408081,1491.28748002733,8.20474405348818,0.2,0.8,0.1,0.7,1.0
6750966074,2023-10-30,2023,ICC Men’s T20 World Cup Asia Qualifier Final,1,Unknown,Singapore,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Singapore,bat,Nepal,unknown,T20,Singapore,145,9,20.7,Nepal,147,2,17.0,2023,10,Singapore,Nepal,145.0,147.0,completed,1348.35027093961,1673.33512153093,-324.984850591314,0.4,0.8,0.4,0.7,1.0
-722713303,2023-10-30,2023,ICC Men’s T20 World Cup Asia Qualifier Final,1,Unknown,Oman,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Oman,bat,Oman,unknown,T20,Oman,153,6,20.7,Malaysia,121,8,20.7,2023,10,Oman,Malaysia,153.0,121.0,completed,1481.33282480997,1561.58226337841,-80.2494385684413,0.4,0.3,0.5,0.45,0.0
-561528595,2023-10-31,2023,ICC Men's T20 World Cup Asia Qualifier Final,1,Unknown,Bahrain,Hong Kong,Mulpani Cricket Ground,Kathmandu,Hong Kong,field,Bahrain,unknown,T20,Bahrain,146,10,21.5,Hong Kong,126,10,20.2,2023,10,Bahrain,Hong Kong,146.0,126.0,completed,1436.17437113407,1515.11445187597,-78.9400807419024,0.6,0.4,0.4,0.2,0.0
-487810995,2023-10-31,2023,ICC Men's T20 World Cup Asia Qualifier Final,1,Unknown,Kuwait,United Arab Emirates,Mulpani Cricket Ground,Kathmandu,Kuwait,bat,United Arab Emirates,unknown,T20,Kuwait,88,8,20.7,United Arab Emirates,94,5,15.0,2023,10,Kuwait,United Arab Emirates,88.0,94.0,completed,1475.66525223217,1565.42172201482,-89.7564697826501,0.6,0.6,0.6,0.4,0.25
-698588820,2023-10-31,2023,ICC Men's T20 World Cup Asia Qualifier Final,1,Unknown,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,bat,Nepal,unknown,T20,Malaysia,165,9,20.8,Nepal,166,4,18.5,2023,10,Malaysia,Nepal,165.0,166.0,completed,1541.95098797031,1677.60563163723,-135.654643666917,0.3,0.8,0.45,0.7,0.230769230769231
8696248908,2023-10-31,2023,ICC Men's T20 World Cup Asia Qualifier Final,1,Unknown,Oman,Singapore,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Singapore,field,Oman,unknown,T20,Oman,174,6,20.7,Singapore,152,8,21.2,2023,10,Oman,Singapore,174.0,152.0,completed,1500.96410021806,1344.07976083331,156.884339384755,0.6,0.2,0.5,0.4,0.0
-779109080,2023-11-02,2023,ICC Men's T20 World Cup Asia Qualifier Final,1,Unknown,Bahrain,Kuwait,Mulpani Cricket Ground,Kathmandu,Kuwait,field,Kuwait,unknown,T20,Bahrain,158,9,20.8,Kuwait,160,6,16.7,2023,11,Bahrain,Kuwait,158.0,160.0,completed,1455.74840556222,1463.70912612286,-7.96072056064372,0.8,0.6,0.4,0.5,0.25
